0,1,2,3,4,5,6,7,label
0.425649,2.789268,2.929867,1.399794,1.219678,0.809263,2.065181,1.547602,1
3.029244,2.516367,1.43007,2.516598,0.131061,2.417323,0.009962,0.919888,1
1.919244,2.86836,0.942839,0.780996,2.093533,3.102426,1.471115,0.387319,1
2.877797,2.972398,0.872412,1.63254,0.486146,0.045953,1.01864,3.112999,-1
1.612081,2.753592,0.21173,0.892695,1.47309,2.393181,2.89847,1.234721,1
2.918815,1.569577,2.519713,2.816689,1.514653,2.66385,0.869214,1.068862,-1
0.330102,1.643517,2.037348,2.826213,0.326304,0.979375,0.245369,2.946406,1
3.013061,0.600805,2.997146,1.395019,0.827572,2.104546,1.182082,3.095933,-1
2.095673,3.114787,3.058543,0.570062,1.386611,2.113643,2.053243,1.203353,-1
2.102454,2.26143,2.461012,1.008396,0.304925,2.6214,0.079239,0.750113,-1
2.692685,0.158526,0.609812,1.495102,0.738851,1.128151,0.456045,0.426119,1
0.30721,0.476532,0.454022,0.092596,2.290896,2.124326,1.393417,0.392308,-1
0.55221,1.915424,0.854192,2.239214,1.149869,0.879039,2.769322,0.523755,1
0.316818,3.060294,3.004783,0.393657,0.413139,1.069644,1.572507,2.662754,1
1.784996,0.67995,1.952317,1.213328,1.208824,0.594145,3.007738,0.386803,-1
0.271853,1.890411,1.872124,0.396079,1.932158,1.028498,1.08477,1.070369,-1
0.384489,2.982126,1.11178,1.540742,0.196268,1.537096,1.099292,3.019297,1
0.829343,2.311563,1.566855,2.911512,2.124766,0.228498,0.820017,0.586802,-1
2.024381,0.194544,1.069044,1.543195,2.465855,0.110654,1.913212,1.855419,1
0.146552,0.55816,2.515228,0.844965,0.723628,2.671542,2.717633,1.349888,1
1.885703,0.949893,1.131786,2.425984,1.941397,2.258248,1.471249,2.727337,1
0.080363,2.264849,1.174488,0.480871,1.443691,1.224829,2.064073,3.140156,1
0.645104,2.291216,2.227465,3.046676,2.104912,1.670848,2.315479,0.360013,-1
1.931589,0.977312,2.856446,3.12204,3.021093,0.742387,0.919248,2.499318,1
1.07852,0.491958,1.964109,0.666029,1.703274,2.751041,1.81362,1.295255,-1
2.207195,2.888583,1.51345,0.75487,3.016943,2.171036,3.114108,1.185618,1
0.572726,2.25413,0.490499,0.880798,0.902065,1.486559,2.092664,2.631805,1
1.286468,2.893592,0.312639,2.284302,1.213874,2.017892,1.474676,0.597031,1
